date,open,high,low,close,volume,average,barCount
2025-07-07 09:00:00+02:00,7.05,7.15,7.0,7.0,8.0,7.081,3
2025-07-07 10:00:00+02:00,7.0,7.0,7.0,7.0,0.0,7.0,0
2025-07-07 11:00:00+02:00,7.0,7.0,7.0,7.0,0.0,7.0,0
2025-07-07 12:00:00+02:00,7.0,7.0,7.0,7.0,0.0,7.0,0
2025-07-07 13:00:00+02:00,7.0,7.0,7.0,7.0,0.0,7.0,0
2025-07-07 14:00:00+02:00,7.0,7.0,7.0,7.0,0.0,7.0,0
2025-07-07 15:00:00+02:00,7.15,7.15,7.15,7.15,2.0,7.15,1
2025-07-07 16:00:00+02:00,7.15,7.15,7.15,7.15,0.0,7.15,0
2025-07-07 17:00:00+02:00,7.15,7.15,7.15,7.15,0.0,7.15,0
2025-07-08 12:00:00+02:00,7.85,7.85,7.85,7.85,5.0,7.85,2
2025-07-08 13:00:00+02:00,7.85,7.85,7.85,7.85,0.0,7.85,0
2025-07-08 14:00:00+02:00,7.85,7.85,7.85,7.85,0.0,7.85,0
2025-07-08 15:00:00+02:00,7.85,7.85,7.85,7.85,0.0,7.85,0
2025-07-08 16:00:00+02:00,7.85,7.85,7.85,7.85,0.0,7.85,0
2025-07-08 17:00:00+02:00,7.85,7.85,7.85,7.85,0.0,7.85,0
2025-07-09 12:00:00+02:00,8.25,8.25,8.25,8.25,1.0,8.25,1
2025-07-09 13:00:00+02:00,8.25,8.25,8.25,8.25,0.0,8.25,0
2025-07-09 14:00:00+02:00,8.25,8.25,8.25,8.25,0.0,8.25,0
2025-07-09 15:00:00+02:00,8.25,8.25,8.25,8.25,0.0,8.25,0
2025-07-09 16:00:00+02:00,8.25,8.25,8.25,8.25,0.0,8.25,0
2025-07-09 17:00:00+02:00,8.25,8.25,8.25,8.25,0.0,8.25,0
2025-07-10 10:00:00+02:00,8.05,8.05,8.05,8.05,3.0,8.05,1
2025-07-10 11:00:00+02:00,8.05,8.05,8.05,8.05,0.0,8.05,0
2025-07-10 12:00:00+02:00,8.05,8.05,8.05,8.05,0.0,8.05,0
2025-07-10 13:00:00+02:00,8.05,8.05,8.05,8.05,0.0,8.05,0
2025-07-10 14:00:00+02:00,8.05,8.05,8.05,8.05,0.0,8.05,0
2025-07-10 15:00:00+02:00,8.05,8.05,8.05,8.05,0.0,8.05,0
2025-07-10 16:00:00+02:00,8.05,8.05,8.05,8.05,0.0,8.05,0
2025-07-10 17:00:00+02:00,8.05,8.05,8.05,8.05,0.0,8.05,0
2025-07-11 15:00:00+02:00,8.3,8.3,8.3,8.3,3.0,8.3,1
2025-07-11 16:00:00+02:00,8.3,8.3,8.3,8.3,0.0,8.3,0
2025-07-11 17:00:00+02:00,8.3,8.3,8.3,8.3,0.0,8.3,0
2025-07-14 13:00:00+02:00,8.3,8.45,8.3,8.45,15.0,8.36,6
2025-07-14 14:00:00+02:00,8.45,8.45,8.45,8.45,1.0,8.45,1
2025-07-14 15:00:00+02:00,8.45,8.45,8.45,8.45,0.0,8.45,0
2025-07-14 16:00:00+02:00,8.45,8.45,8.45,8.45,0.0,8.45,0
2025-07-14 17:00:00+02:00,8.45,8.45,8.45,8.45,0.0,8.45,0
2025-07-16 11:00:00+02:00,9.2,9.2,9.2,9.2,4.0,9.2,2
2025-07-16 12:00:00+02:00,9.1,9.3,9.1,9.25,16.0,9.231,8
2025-07-16 13:00:00+02:00,9.25,9.25,9.25,9.25,0.0,9.25,0
2025-07-16 14:00:00+02:00,9.25,9.25,9.25,9.25,0.0,9.25,0
2025-07-16 15:00:00+02:00,9.25,9.25,9.25,9.25,0.0,9.25,0
2025-07-16 16:00:00+02:00,9.25,9.25,9.25,9.25,0.0,9.25,0
2025-07-16 17:00:00+02:00,9.25,9.25,9.25,9.25,0.0,9.25,0
