date,open,high,low,close,volume,average,barCount
2025-07-07 09:00:00+02:00,4.44,4.57,4.44,4.57,4.0,4.51,3
2025-07-07 10:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-07 11:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-07 12:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-07 13:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-07 14:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-07 15:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-07 16:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-07 17:00:00+02:00,4.57,4.57,4.57,4.57,0.0,4.57,0
2025-07-09 10:00:00+02:00,5.75,5.75,5.75,5.75,6.0,5.75,1
2025-07-09 11:00:00+02:00,5.75,5.75,5.75,5.75,0.0,5.75,0
2025-07-09 12:00:00+02:00,5.75,5.75,5.75,5.75,0.0,5.75,0
2025-07-09 13:00:00+02:00,5.75,5.75,5.75,5.75,0.0,5.75,0
2025-07-09 14:00:00+02:00,5.75,5.75,5.75,5.75,0.0,5.75,0
2025-07-09 15:00:00+02:00,5.75,5.75,5.75,5.75,0.0,5.75,0
2025-07-09 16:00:00+02:00,5.75,5.75,5.75,5.75,0.0,5.75,0
2025-07-09 17:00:00+02:00,5.75,5.75,5.75,5.75,0.0,5.75,0
2025-07-10 10:00:00+02:00,5.55,5.55,5.55,5.55,2.0,5.55,1
2025-07-10 11:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-10 12:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-10 13:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-10 14:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-10 15:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-10 16:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-10 17:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-14 12:00:00+02:00,5.7,5.7,5.7,5.7,1.0,5.7,1
2025-07-14 13:00:00+02:00,5.6,5.6,5.3,5.35,4.0,5.463,3
2025-07-14 14:00:00+02:00,5.55,5.55,5.55,5.55,2.0,5.55,1
2025-07-14 15:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-14 16:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-14 17:00:00+02:00,5.55,5.55,5.55,5.55,0.0,5.55,0
2025-07-15 11:00:00+02:00,6.55,6.65,6.55,6.65,3.0,6.617,2
2025-07-15 12:00:00+02:00,6.5,6.5,6.15,6.15,6.0,6.375,4
2025-07-15 13:00:00+02:00,6.1,6.1,5.85,5.85,3.0,5.933,2
2025-07-15 14:00:00+02:00,5.85,5.85,5.85,5.85,0.0,5.85,0
2025-07-15 15:00:00+02:00,5.85,5.85,5.85,5.85,0.0,5.85,0
2025-07-15 16:00:00+02:00,5.85,5.85,5.85,5.85,0.0,5.85,0
2025-07-15 17:00:00+02:00,5.85,5.85,5.85,5.85,0.0,5.85,0
2025-07-16 11:00:00+02:00,6.15,6.15,6.15,6.15,2.0,6.15,1
2025-07-16 12:00:00+02:00,6.15,6.15,6.15,6.15,3.0,6.15,1
2025-07-16 13:00:00+02:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2025-07-16 14:00:00+02:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2025-07-16 15:00:00+02:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2025-07-16 16:00:00+02:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2025-07-16 17:00:00+02:00,6.15,6.15,6.15,6.15,0.0,6.15,0
